generation,min,max,mean,stdev
0,759.8978989413912,1007.8173123830821,885.9510878295439,52.84296190464226
1,755.3460560577163,1015.9982897415948,880.5512341528251,54.924804466438275
2,722.7463643073104,1015.9982897415948,877.5433481666872,55.54627330249769
3,653.4112721995787,877.7129976410073,828.5278076558906,34.32032496359551
4,653.4112721995787,834.9412962476363,801.157504165041,28.135066904275767
5,653.4112721995787,813.0867652583029,782.5639139003242,25.561696442860256
6,653.4112721995787,814.1302206528426,780.9396277632686,28.04511850392904
7,653.4112721995787,799.909905525659,768.2082585502122,26.18065454442579
8,653.4112721995787,786.1730511061577,756.8201548549642,24.84233630816471
9,622.8018627134431,774.8472523554988,747.138686013071,23.57424023712225
10,600.0036991852814,764.3197490491882,738.1634173335964,23.29491697322545
11,596.2570774137357,754.4109636698887,729.0014200203403,22.91318339069689
12,596.2570774137357,745.8644967002073,720.5456506134017,23.188568305982468
13,596.2570774137357,738.1288750206827,712.7505367855531,23.739167363602533
14,596.2570774137357,731.2888349329376,706.1599900756796,22.81895172729794
15,596.2570774137357,725.5773357094572,701.0430771723755,21.835762658521805
16,588.6835495343844,719.7411764830209,695.3475547185982,21.581923661430128
17,588.6835495343844,714.059629891619,690.1219829111134,21.486719156412388
18,588.6835495343844,709.9953377751598,685.5434935658548,21.79330454101451
19,588.6835495343844,705.718729862384,681.3280160832838,21.732198852590844
20,588.6835495343844,702.0041082248795,677.6821640825134,21.316986757269053
21,588.6835495343844,697.4403143333486,674.0128543449805,20.70861032372387
22,588.6835495343844,693.9234557468219,671.0580982254447,20.026427245842925
23,588.6835495343844,690.9789652488569,667.8630527922267,20.0473481220758
24,588.6835495343844,687.1428068992535,663.9223070919994,20.248970118719136
25,588.6835495343844,684.6330885929606,661.4598268323759,20.03965120360539
26,588.6835495343844,682.3142382660218,658.8346953380919,19.664893534702177
27,588.6835495343844,679.4133370151027,656.7905018107872,18.979558880261102
28,588.6835495343844,676.4626862300707,654.9044891647502,18.38061758003719
29,588.6835495343844,674.7692995297259,653.3749671769089,17.909059239575143
30,588.6835495343844,672.6951227594012,651.476809442483,17.628050959397854
31,588.6835495343844,670.8639239676656,649.7680671535301,17.085928473904247
32,588.6835495343844,668.8056675821134,648.0164671450808,16.721002138382858
33,588.6835495343844,667.1490169566227,646.4762084218474,16.376922545063643
34,588.6835495343844,665.7983016250472,645.3964231155154,15.912265508444252
35,588.6835495343844,664.1967817077215,644.2768195517413,15.63019858060563
36,588.6835495343844,662.4965477732308,643.0631491111226,15.286415561358908
37,588.6835495343844,661.2205883356867,642.2875937775816,14.934938199273427
38,588.6835495343844,660.1156456471437,641.4880476882596,14.720474774612125
39,588.6835495343844,658.6296014691702,640.5491681896775,14.472489906300293
40,588.6835495343844,657.892663089221,639.8688767097542,14.250009045922615
41,588.6835495343844,656.8148835737608,638.878547553403,13.931022012151377
42,588.6835495343844,655.8345683136927,638.1011290475077,13.690105256178976
43,588.6835495343844,655.1047973447772,637.4806985479058,13.457353006667669
44,588.6835495343844,654.1947371970833,636.7805390542969,13.205727282187041
45,588.6835495343844,653.588850147251,636.2360844625243,13.017539865178383
46,586.8354312692646,652.9918334524974,635.7141124440595,12.92053732701623
47,586.8354312692646,652.4015462409213,635.3815665482844,12.809363335475311
48,586.8354312692646,651.7651088132395,634.8773463942609,12.662054510286127
49,586.8354312692646,651.164758843817,634.2859679455204,12.690781374323878
50,586.8354312692646,650.5049013109756,633.8558339352238,12.512590799105475
51,586.8354312692646,649.8422228617475,633.5047572755024,12.390574666366259
52,586.8354312692646,649.0167540665118,632.9071451404359,12.299387137845605
53,586.8354312692646,648.4278785849929,632.640417653661,12.171662663187497
54,586.8354312692646,647.8364221877498,632.2777885870623,11.97906748419226
55,586.8354312692646,647.5773120458136,632.111922248764,11.883280989985705
56,586.8354312692646,647.3302789997222,631.888702913668,11.749819995847652
57,586.8354312692646,647.0885463643251,631.6677560421485,11.64043458627712
58,586.8354312692646,646.4832068894539,631.4731921477221,11.514800549778077
59,586.8354312692646,646.0516438634288,631.2581936444159,11.4011048348826
60,586.8354312692646,645.8001632430206,631.0538214765216,11.296363486315915
61,586.8354312692646,645.3648088360065,630.8298299140957,11.21493567812318
62,586.8354312692646,645.0035327404365,630.7095807658117,11.16403385898862
63,586.8354312692646,644.6059029795814,630.5560536273193,11.056306013821482
64,586.8354312692646,644.2333761250688,630.2986459867334,11.00852987672924
65,586.8354312692646,643.8579344315112,630.0286487929526,10.984538996481463
66,586.8354312692646,642.8983883926015,629.7886799415132,10.904375342525716
67,586.8354312692646,642.5234321533359,629.5934634106383,10.877948021618245
68,586.8354312692646,642.0390644859272,629.3597668144045,10.765954449945248
69,586.8354312692646,642.0312173499857,629.3343619688899,10.74675911834144
70,586.8354312692646,641.8917976827431,629.2105930811041,10.691872672679462
71,586.8354312692646,641.8682034424704,629.1072321464125,10.656922746455594
72,586.8354312692646,641.6485978252048,628.9389645943279,10.648486382717255
73,586.8354312692646,641.3946429862191,628.8397745450559,10.605250652025621
