generation,min,max,mean,stdev
0,1339.064234728069,1690.8244059413696,1517.764381652746,52.5362112634258
1,1309.7098146108722,1496.554433896923,1459.2849993749464,29.72966399275457
2,1306.5806148805557,1461.9993646207608,1431.0609013125331,27.07945913946346
3,1302.5407185642343,1451.4697440981588,1420.108861482429,26.75796600400427
4,1298.2034761899267,1437.9902300960334,1407.1982786238357,25.49014233966188
5,1289.9523369705107,1425.7058562520508,1396.101181457892,24.483914367623843
6,1231.9321384974116,1414.962682962053,1386.6294283338611,24.523303292972578
7,1231.9321384974116,1406.4223835733203,1377.419051644041,25.338103506117122
8,1231.9321384974116,1397.8755715769175,1369.788995677817,24.525869074955374
9,1231.9321384974116,1390.4575622560358,1362.3745627982878,23.8384773696634
10,1187.3121389423904,1382.7593252256415,1354.8717255566942,23.861693671844417
11,1187.3121389423904,1375.3042799141836,1348.0627296152657,23.946236783148603
12,1187.3121389423904,1368.9208728102685,1340.7775579404563,24.29871281634824
13,1180.32501559004,1361.2786367764536,1333.0761576677921,24.505495598953846
14,1180.32501559004,1353.7249545072984,1325.7279657514564,24.967532710292286
15,1180.32501559004,1347.6800647701464,1319.9815610128082,24.616594033804404
16,1173.8155519099705,1342.2465160492998,1313.6324038115445,25.175854960904587
17,1171.0244378961434,1336.8919503522068,1308.221350261519,25.496356713288147
18,1164.037314543793,1331.0747012230738,1302.4199642760482,26.130493765768183
19,1164.037314543793,1326.771413427499,1297.7497598594762,26.68505151690268
20,1164.037314543793,1320.6116619222532,1292.549801566016,26.55388313800802
21,1164.037314543793,1315.419166943796,1286.996921236482,26.703197452135047
22,1155.705840060581,1309.134890569928,1280.8530308416262,27.11243767386842
23,1155.705840060581,1304.0749717147391,1274.8267634958436,27.814247767080133
24,1155.705840060581,1299.0615603685007,1269.512342650387,28.65283682736638
25,1155.705840060581,1293.8417836906194,1262.3366296211834,30.1062069991195
26,1139.1803895451071,1289.2183073900794,1254.8507921869293,30.879649267289693
27,1139.1803895451071,1282.5482312928607,1245.7061225245532,30.55732238014908
28,1139.1803895451071,1273.3350352958705,1235.2453366555224,28.95477458396679
29,1139.1803895451071,1261.6290134699782,1224.4906376690878,26.677572760045564
30,1136.7093112911668,1247.5907077032894,1212.8220360537728,23.78354150431221
31,1136.7093112911668,1233.3602109538506,1203.420812112043,20.354607379098685
32,1128.8065288218666,1220.8794730601537,1195.0700411339465,18.055759182843094
33,1116.4389289976807,1211.6241775696003,1188.0067449967687,17.324876154521082
34,1116.4389289976807,1203.5080861437277,1182.2293661457002,16.3276888229615
35,1116.4389289976807,1197.8015050207873,1177.3236958769846,16.190974790849864
36,1110.3185994411265,1192.1572822584023,1171.8897220568222,15.881972956851827
37,1075.732893383773,1185.6215808922345,1166.6685685047255,15.742235089163778
38,1075.732893383773,1179.9563643364218,1161.35056426083,15.776682850590563
39,1075.732893383773,1175.6946701783,1156.9969637973286,15.74329605970906
40,1075.732893383773,1171.0633763110004,1152.8593635147765,15.574650682810619
41,1075.732893383773,1166.3947058716794,1148.5629811919785,15.235180781611684
42,1071.0121899415462,1162.0901151502621,1143.8712759810542,15.535040909701324
43,1054.9391190491674,1157.1515160413805,1139.2599656391187,15.756268917940615
44,1054.9391190491674,1153.4547757828436,1135.2184045929523,15.611515248973003
45,1054.9391190491674,1149.34525041183,1131.45919298986,15.488768600990149
46,1054.9391190491674,1145.0468979393695,1127.331176997771,16.03924301033692
47,1054.9391190491674,1140.8827462709608,1122.8006870352863,16.08823259166403
48,1054.9391190491674,1136.6175673678276,1118.7839657890497,15.82774050054408
49,1054.8123341097285,1132.5480810566555,1114.6551285063317,15.64254420765944
50,1040.3767355024092,1129.4616088753326,1110.7144591002027,15.75158199888393
51,1040.3767355024092,1125.6985360178,1106.6000737365525,15.499769937132605
52,1040.3767355024092,1121.3486561842174,1102.6748074084842,15.164531006257652
53,1040.3767355024092,1116.765900000835,1098.0862061788112,14.970581532547309
54,1040.3767355024092,1113.0856486436314,1094.275148601072,14.856145696405118
55,1038.043091738282,1109.1671367690383,1090.3939811396597,14.236118699533563
56,1038.043091738282,1105.393847139062,1087.1642218634115,13.748192547229023
57,1032.4898266928915,1101.3597891289917,1083.7245758531847,13.459514292467945
58,1032.4898266928915,1097.8523178739465,1080.747514161615,12.98072510633819
59,1032.4898266928915,1093.901862486332,1077.8976982667114,12.370408404643292
60,1013.5122409301239,1090.4273158120993,1074.7780160365376,12.332633953278565
61,1013.5122409301239,1087.0988644382733,1072.3915199382677,12.25814908219433
62,1009.993439060147,1084.082610964642,1069.9553847253023,12.072201677174268
63,1009.993439060147,1081.5233022707462,1067.0813706684446,12.252267951401986
64,1009.993439060147,1079.2027847304666,1064.5578100847163,12.313255355977134
65,1004.1699283088942,1076.689747581434,1062.0621637062243,12.322051242900356
66,1004.1699283088942,1073.6041119641002,1059.3555704363348,12.116440081241711
67,1004.1699283088942,1070.7285903987668,1056.4146288538893,12.007603812168732
68,1004.1699283088942,1068.3875988877787,1053.9698265488805,11.794561793110324
69,1004.1699283088942,1065.6219619228027,1051.470535866362,11.646491446400347
70,996.377580205507,1063.3339634106283,1048.9253287706788,11.81605926314482
71,996.377580205507,1060.5903962521122,1046.0664303639,11.89071918540249
72,995.52976281292,1057.9859679360382,1043.3391090119908,11.823538009501435
73,985.7927966192931,1055.0782489685114,1040.4864085121233,11.878113999134696
74,985.7927966192931,1051.9101460779552,1037.687005276599,11.774989484093267
75,985.7927966192931,1049.2623118789063,1035.6519542875133,11.472814044410836
76,985.7927966192931,1046.910923661759,1033.0953733260008,11.490983901449432
77,982.2375757218697,1044.9489061296733,1030.803950650895,11.723990970550842
78,976.788490697437,1042.42579179177,1028.1023893041715,11.736960854303465
79,968.8638941712825,1039.6476570401403,1025.1588284266732,11.892598002926196
80,958.1858769655419,1036.6944009517315,1022.4383636111704,12.25139672702558
81,944.5348636584426,1034.2215161429901,1019.9460977969297,12.605562459639092
82,942.5877661435507,1031.9894488040002,1017.467196495392,12.804208125968497
83,925.772333100208,1029.5506537934245,1014.4037787402597,13.458158644329492
84,916.7368083001845,1026.7530648270542,1011.2502363394636,13.889249190774802
85,916.7368083001845,1023.5205037414275,1007.9232747380863,13.456108849611137
86,916.7368083001845,1020.567317204448,1004.8890758967574,13.5255097271407
87,916.7368083001845,1017.1496405280395,1002.0866005953173,13.551132103891405
88,916.7368083001845,1013.665166665069,998.4296930948799,14.406960696912387
89,916.7368083001845,1010.346408444868,995.7053483195513,14.33808863317268
90,916.7368083001845,1008.1669385950357,992.919901682687,14.546413188248735
91,916.7368083001845,1005.3801571361639,990.1501564536396,14.822448710837051
92,916.7368083001845,1002.7532604631053,987.4681647448681,14.786829831897009
93,916.7368083001845,999.9712620192302,984.1862580224579,15.113275819585452
94,916.7368083001845,996.5946278761057,979.6974761690119,15.45187521523342
95,916.7368083001845,993.3991829485226,976.0539657663847,15.443492751123125
96,916.7368083001845,990.0843941350499,971.4526251171364,15.718450838704303
97,916.7368083001845,985.909627506851,966.5281763992659,15.580004189104365
98,912.6201393673948,980.9052168394848,961.281642038142,14.752029246363273
99,898.6431381911823,975.4017733534818,956.1421864064827,13.353645212529928
100,893.9699617584042,968.5346811681511,951.1301285481743,12.307612118464368
101,888.0195964364701,962.2328330121649,946.4903964287677,11.477230476316448
102,888.0195964364701,956.418167078177,942.5766315482663,10.529453069578121
103,888.0195964364701,952.1607551105401,939.5083035506505,9.91628296366298
104,888.0195964364701,947.9394376842527,936.0966425790252,9.696737901122578
105,888.0195964364701,944.7747413399236,933.6379235485756,9.187573268615637
106,888.0195964364701,941.9588333803711,931.0358375294375,8.822007719982253
107,888.0195964364701,938.9140117441361,928.4916469974248,8.720336795064506
108,888.0195964364701,935.9981848103414,926.0359904087388,8.353686565453806
109,888.0195964364701,933.8833450283228,923.8371673006981,8.340758739181023
110,884.2989648638616,931.3991376474764,921.7512357043947,8.069446528642263
111,884.2989648638616,929.1266624761276,919.8158603772936,7.79938453041359
112,884.2989648638616,926.916399071553,917.8465530520093,7.746743825854062
113,879.2608881197546,924.6019890932557,915.8833161005855,7.74324485904129
114,879.2608881197546,922.7277646750497,913.750822198019,7.778387432227879
115,854.706374787756,920.8390343394128,911.6503565225622,7.889975159756378
116,854.706374787756,918.5935083291138,909.5150945858151,7.933232944591245
117,854.706374787756,916.3874378587398,907.3275017561788,7.902447276468196
118,854.706374787756,914.3024710220097,905.2824155911385,8.014733303023425
119,854.706374787756,912.420534385978,903.4251136881679,8.018581787229524
120,854.706374787756,910.2938634721268,901.5811543227622,7.852290865013184
121,854.706374787756,908.7435088412474,899.8254295875015,7.782374042084395
122,854.706374787756,906.92310868605,897.9927441303134,7.700306042293921
123,854.706374787756,904.7900982712463,895.8666083041027,7.703056784033288
124,854.706374787756,902.8680096756559,893.9851196322617,7.716247070094047
125,854.706374787756,900.7586933838486,891.7283518563725,7.7873271762915275
126,854.706374787756,898.5184165954411,889.5791380740112,7.617535127470395
127,854.5082324970709,896.7672273762282,887.5178707882092,8.095646270558225
128,848.5939167979583,894.6427579508672,885.2620757965013,8.077736804318612
129,848.5939167979583,892.3825322002176,883.1158995863825,8.087534630325154
130,848.5939167979583,890.239090962692,881.0702564518404,8.078271651901046
131,848.5939167979583,888.2141547009238,878.8449045774597,7.949359189543264
132,848.5939167979583,886.1842251653725,876.5930236012982,7.903066033331737
133,848.5939167979583,883.8725231724602,874.6685418924061,7.620171317183954
134,841.6033896788887,882.1069044494266,872.8349980924303,7.590269044897972
135,841.6033896788887,880.2962712217832,870.943732513567,7.488548156564745
136,841.6033896788887,878.0602616075718,868.8519513918427,7.3669900041670475
137,838.7465234955381,875.9192254466391,866.9045352164842,7.093351728462514
138,838.7465234955381,873.8279614034002,865.1405964952194,6.853889070416882
139,838.7465234955381,871.9025936526554,863.402839346166,6.662101962181047
140,836.8693323027757,869.910442862226,861.6476962528064,6.485661076901276
141,836.8693323027757,867.9240866242864,859.9244351831996,6.3018107276305555
142,836.8693323027757,866.2992786617764,858.4782156806948,6.101769992734399
143,836.7465492255704,864.7547338522271,857.1609773934368,5.943384772062369
144,833.4245174728027,863.3685189974568,855.8099174754154,5.856186669560503
145,833.4198574465911,861.9248222189398,854.5674799208501,5.753781852389539
146,832.4502808694496,860.5695849004757,853.4191781906671,5.654980849434358
147,832.4502808694496,859.1884173575804,852.16954893273,5.4970711700733235
148,832.2500817248571,857.8001960418438,850.9336544380899,5.254397977620135
149,830.8445175479935,856.429043536685,849.8503647651977,5.0509982043051425
150,830.8445175479935,855.2776976269032,848.8749899368281,4.857683533867488
151,826.026506606114,853.8305438809047,847.7817435801251,4.730317798013694
152,826.026506606114,852.7987989567149,846.9880182567715,4.596515205446932
153,826.026506606114,851.8256729159397,846.0344023902383,4.4606073089272185
154,826.026506606114,850.9683089678402,845.2157899777419,4.365537507462898
155,826.026506606114,850.0419010905681,844.4742740273308,4.256886020976629
156,826.026506606114,849.0840757229995,843.5535531890499,4.241695289176502
157,826.026506606114,848.1719053404385,842.7229532873849,4.154570731120463
158,826.026506606114,847.1656052727512,841.9486816058554,4.0377982255736375
159,826.026506606114,846.1689022512081,841.1478819276546,3.982752853671093
160,826.026506606114,845.3775773628614,840.3456169666932,3.9653517686481266
161,826.026506606114,844.4719526255107,839.6150009700634,3.8850566510695166
162,826.026506606114,843.7069692918914,838.9334250672291,3.800186348767402
163,826.026506606114,842.9629951892667,838.1919529569362,3.6561006630075448
164,826.026506606114,841.9385013025387,837.4046997283898,3.524396004104776
165,826.026506606114,841.2004815932702,836.7456117563867,3.4027273788904173
166,826.026506606114,840.5387871643069,836.1452906306271,3.3204182236889355
167,825.187945079349,839.855637470201,835.5365829654572,3.1661866392862494
168,825.187945079349,839.048700222295,834.8971343928257,3.021291228522166
169,825.187945079349,838.402438012445,834.3706911077893,2.857562457002406
170,825.187945079349,837.644173541998,833.8359609596125,2.6871405911455177
171,824.9111644537675,836.9373460142175,833.3455609514374,2.5498092984523084
172,824.9111644537675,836.4284674569293,832.9938446970416,2.421621578961219
173,824.5547797708487,835.9430131475195,832.6719713873886,2.345893821506736
174,824.5547797708487,835.4819598221517,832.3666120883255,2.237822784170333
175,824.5547797708487,835.0627125548947,832.0180969090202,2.174830278921676
176,824.5547797708487,834.7030572619396,831.7448886500142,2.1082152641575096
177,824.5547797708487,834.3125293732921,831.5079983267711,2.0363979821656826
178,824.5547797708487,833.939010403665,831.2776523206437,1.996342153951753
179,824.5547797708487,833.6635736102686,831.0251106737564,1.955829868354856
180,823.4704857359666,833.4225476399995,830.7857053541983,1.9266364907242912
181,823.4704857359666,833.1551833767298,830.6140920696336,1.8920057567287873
182,823.2343790003536,832.9158455926972,830.4227186393072,1.8587921957875007
183,823.2343790003536,832.681275680759,830.2556606660465,1.841516130144007
184,823.2343790003536,832.4052452084301,830.0545485903159,1.817491773541275
185,822.4754215309258,832.1827543507615,829.8741843979562,1.8276256644852327
186,822.119036848007,831.9726057018879,829.6744268671582,1.837541495800895
187,822.119036848007,831.8334919850445,829.5307344163731,1.8281274701078305
188,822.119036848007,831.5946880314985,829.3257433733393,1.8236832516828516
189,822.119036848007,831.435124888418,829.1495874517666,1.8234985166020166
190,822.119036848007,831.296660040316,829.0059613810204,1.8044560978677882
191,822.119036848007,831.0846330640223,828.8095577735659,1.8376761154341392
192,820.6266835972095,830.8642399736025,828.5647309861072,1.890018416133069
193,820.6266835972095,830.6547426393126,828.3446944328642,1.927633481858066
194,820.6266835972095,830.463331550803,828.1288873765986,1.981577431879726
195,820.6266835972095,830.2818851154868,827.9559424286455,1.9885175103615493
196,819.7881220704445,830.1473070705849,827.7579584170661,2.029214927845951
197,819.7881220704445,830.0246681203873,827.5976750705368,2.0405964534095777
198,819.7881220704445,829.8722757028384,827.4127520725124,2.026486659733545
199,819.5906238248492,829.6944685698842,827.2371645321016,2.0455023288164305
