generation,min,max,mean,stdev
111,22893.14994205114,23564.603224947707,23437.26933092175,124.15784337658253
112,22892.600457438086,23547.755406869997,23417.829559695667,126.06037322624321
113,22892.600457438086,23530.16964581515,23393.14979808202,127.2596090053207
114,22862.39054243939,23510.096404879892,23363.121212836635,127.55699978799858
115,22851.435113623684,23478.135433239924,23330.50215484548,125.32132257030929
116,22851.435113623684,23449.235052821343,23295.559107783258,126.4215617575915
117,22807.797722228715,23416.273991223617,23264.96647032874,121.01175040198011
118,22807.797722228715,23380.808200413492,23231.165128655022,117.55401591453831
119,22807.797722228715,23340.58195718639,23190.586016315556,111.94496434818933
120,22788.962294948367,23299.74232401356,23154.2413311232,106.3639737570386
121,22741.51653338224,23252.40089849815,23116.634422143754,97.6307729834123
122,22741.51653338224,23201.36374982412,23078.08931745515,90.59294139018623
123,22699.464076037588,23157.41872843645,23043.685358923976,85.3257104947141
124,22699.464076037588,23121.977205373063,23014.80263768837,81.91010476972018
125,22699.464076037588,23085.332119894476,22983.94125081667,79.70171053059377
126,22571.352813996957,23050.273162547248,22954.164340549367,76.56908251870202
127,22571.352813996957,23016.857386622865,22926.76794836182,73.29345998542681
128,22571.352813996957,22987.083859115035,22899.136050759815,72.04484400149298
129,22571.352813996957,22955.309071416006,22869.20384121545,71.12350074833776
130,22469.0701227589,22925.501440940032,22840.931288071006,69.12570529443758
131,22469.0701227589,22899.403097148377,22811.416205331472,66.31317056872933
132,22469.0701227589,22866.70055522415,22783.574620899126,60.351147720093316
133,22469.0701227589,22831.281846397243,22756.551402978384,56.57049299135897
134,22469.0701227589,22801.81695493796,22732.493155033695,52.60096099001811
135,22467.01248640487,22774.50846171923,22706.94254297689,51.95622068372893
136,22455.50229489897,22746.546756836684,22684.30395805335,50.10793655786181
137,22455.50229489897,22723.94638511738,22664.28372813172,49.069663973096326
138,22431.802769836508,22703.1971840479,22643.881840940674,46.40334095739277
139,22389.48218800642,22679.27994539623,22623.723104543795,45.46636763392344
140,22389.48218800642,22656.12187193174,22605.096918154002,43.43644608121277
141,22360.70376581364,22636.76492680714,22586.455183754333,43.71927090773492
142,22347.263008424467,22618.190033805207,22567.149336165472,44.91038810464381
143,22337.546363922345,22600.335722814536,22546.910940670452,46.82837045276558
144,22337.546363922345,22581.96088807238,22526.593600020806,46.92587992653586
145,22307.35695983557,22564.813640917873,22509.30716389898,46.98711213658041
146,22307.35695983557,22545.682420605306,22488.839039534145,46.91911696143564
147,22297.702586469713,22525.670968889448,22469.84951390889,46.13691482073021
148,22287.615461515074,22506.403711722796,22448.36996455025,45.21468059482152
149,22259.440756896336,22485.064514882448,22429.263379347838,42.213296307096925
150,22259.440756896336,22461.816429743558,22409.98512110229,38.405140757024824
151,22259.440756896336,22440.664163248366,22393.440850200535,34.065667665653365
152,22259.032893351858,22420.644960115158,22378.6672900578,32.38043799736898
153,22230.817333672472,22405.704400284278,22366.342664457734,30.771080000041596
154,22230.817333672472,22392.099316555345,22354.060545430882,29.388039424886845
155,22230.817333672472,22378.21867553174,22343.574920997828,28.345172512363913
156,22230.817333672472,22367.034328737995,22332.756838453464,27.73882534751234
157,22211.908293449116,22356.41245138516,22321.926461364983,27.311839718156214
158,22206.12779406761,22347.253072718675,22312.484862509133,26.73428566184522
159,22206.12779406761,22335.589028935527,22302.13375370525,25.130440899625754
160,22169.002991000394,22325.040969073056,22292.41463177475,23.781606197734003
161,22161.997245117018,22312.43533654575,22283.164356738973,22.95167724744267
162,22133.27100303943,22303.25172177562,22275.098879866284,23.022964014245023
163,22133.27100303943,22295.130490075844,22266.75953892013,22.895845892216727
164,22133.27100303943,22285.763708530583,22257.4030564664,23.527962522909828
165,22133.27100303943,22276.55064207556,22248.51853284604,24.16463070401895
166,22133.27100303943,22267.691883186057,22238.3273208173,26.11149025135178
167,22122.20224106629,22260.04970310002,22228.810208818435,27.219839159151793
168,22122.20224106629,22251.12138897413,22219.656032320163,26.095212033148467
169,22116.150582427807,22240.457561807387,22209.73773382369,25.35323471131611
170,22116.150582427807,22229.910287832925,22199.2492117381,24.249454393205717
171,22114.55219232514,22219.274394932538,22189.517565820788,22.63519457242234
172,22114.24060232422,22210.182610067855,22181.73761463557,21.664950524585443
173,22109.136437094563,22200.53062935303,22174.04710858084,19.997704205018994
174,22109.136437094563,22193.35140719215,22168.03791465959,18.81046971086845
175,22097.977314317748,22186.004366461082,22161.862387452915,17.258701629012183
176,22096.36273671616,22178.44425547497,22156.776548425532,16.055033646069045
177,22093.977329262678,22172.90945162747,22152.48381821801,15.15009776657571
178,22080.06617767879,22167.3457929024,22148.141264089376,14.850612629347832
179,22076.592378622543,22163.52431907518,22144.539196293183,14.562939948549475
180,22073.449102786653,22159.042779957777,22140.79806378854,14.410861957658083
181,22062.80142448484,22154.983205183238,22137.486077162797,14.495815434366424
182,22054.87639610695,22151.62235137864,22134.10623970237,14.922500351639801
183,22053.13074118868,22147.93367671485,22130.647632281543,15.272406561631394
184,22053.13074118868,22144.769935356464,22127.27318450993,15.82651928995844
185,22037.856256096446,22141.344377741727,22123.889869281924,16.216407402164954
186,22037.856256096446,22138.872116491493,22120.644435364044,16.93608641870323
187,22015.19206530941,22135.94402835553,22116.741629459622,18.050034698810162
188,22015.19206530941,22132.36207227903,22112.127617912607,19.14346661192241
189,22015.19206530941,22128.57564232329,22108.132356706905,19.366034606114663
190,22015.19206530941,22125.154492668764,22103.406980578788,19.830860618855233
191,22010.788361101975,22121.77619202613,22098.637814396865,20.6172414853378
192,22004.17128620984,22117.06067034493,22093.238175708764,21.236076292797563
193,22004.17128620984,22112.97180821989,22088.279035676693,20.791770979895166
194,22004.17128620984,22108.000905361445,22083.090634234297,20.474600487673694
195,22004.17128620984,22101.99640608932,22077.616906478754,19.792973082549356
196,21979.388107933064,22096.887776772284,22072.780118185856,19.37549660739479
197,21979.388107933064,22091.315030268783,22067.602292101037,18.622058449810527
198,21979.388107933064,22084.908129335377,22062.394014210615,17.922221417457187
199,21975.111790518873,22079.647271239395,22057.471237152382,17.58947696476029
